"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00233708","1893-04-18","39.966667","-93.583333",,"HAZELHURST, MO US","  168",",,6","    0",",,6",,,,
"USC00233708","1893-04-19","39.966667","-93.583333",,"HAZELHURST, MO US","  351",",,6","    0",",,6",,,,
"USC00233708","1893-04-20","39.966667","-93.583333",,"HAZELHURST, MO US","   97",",,6","    8",",,6",,,,
"USC00233708","1893-04-21","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0","T,,6",,,,
"USC00233708","1893-04-22","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-04-23","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-04-24","39.966667","-93.583333",,"HAZELHURST, MO US","  246",",,6","    0",",,6",,,,
"USC00233708","1893-04-25","39.966667","-93.583333",,"HAZELHURST, MO US","   51",",,6","    0",",,6",,,,
"USC00233708","1893-04-26","39.966667","-93.583333",,"HAZELHURST, MO US","   43",",,6","    0",",,6",,,,
"USC00233708","1893-04-27","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-04-28","39.966667","-93.583333",,"HAZELHURST, MO US","   43",",,6","    0",",,6",,,,
"USC00233708","1893-04-29","39.966667","-93.583333",,"HAZELHURST, MO US","  455",",,6","    0",",,6",,,,
"USC00233708","1893-04-30","39.966667","-93.583333",,"HAZELHURST, MO US","   71",",,6","    0",",,6",,,,
"USC00233708","1893-05-01","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6",,,,,,
"USC00233708","1893-05-02","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-03","39.966667","-93.583333",,"HAZELHURST, MO US","   20",",,6",,,,,,
"USC00233708","1893-05-04","39.966667","-93.583333",,"HAZELHURST, MO US","   61",",,6",,,,,,
"USC00233708","1893-05-05","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-06","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-07","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-05-08","39.966667","-93.583333",,"HAZELHURST, MO US","  312",",,6",,,,,,
"USC00233708","1893-05-09","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-05-10","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-11","39.966667","-93.583333",,"HAZELHURST, MO US","   91",",,6",,,,,,
"USC00233708","1893-05-12","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-13","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-14","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-05-15","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-16","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-17","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-18","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-19","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-05-20","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-21","39.966667","-93.583333",,"HAZELHURST, MO US","   20",",,6",,,,,,
"USC00233708","1893-05-22","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-23","39.966667","-93.583333",,"HAZELHURST, MO US","   15",",,6",,,,,,
"USC00233708","1893-05-24","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-25","39.966667","-93.583333",,"HAZELHURST, MO US","  554",",,6",,,,,,
"USC00233708","1893-05-26","39.966667","-93.583333",,"HAZELHURST, MO US","  343",",,6",,,,,,
"USC00233708","1893-05-27","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-28","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-29","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-05-30","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
