"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00387113","1928-03-07","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  183",",,6","  -17",",,6",,,,,,,,,,,,,,,,,,,"  172",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-08","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  172",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,"  156",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-09","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   64",",,6,","    0",",,6,","    0",",,6,","  233",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,"  228",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-10","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   15",",,6,","    0",",,6,","    0",",,6,",,,"   33",",,6",,,,,,,,,,,,,,,,,,,"  133",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-11","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   81",",,6,","    0",",,6,","    0",",,6,","  139",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,"   78",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-12","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  206",",,6","   56",",,6",,,,,,,,,,,,,,,,,,,"  156",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-13","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,",,,"   22",",,6",,,,,,,,,,,,,,,,,,,"  189",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-14","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","  145",",,6,","    0",",,6,","    0",",,6,",,,"    6",",,6",,,,,,,,,,,,,,,,,,,"  206",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-15","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  206",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,"  117",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-16","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   74",",,6,","    0",",,6,","    0",",,6,","  122",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,"   94",",,6,",,,,,,,,,,,,,,,,,,,,,,
