"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00118146","1991-10-07","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-08","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-09","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-10","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-11","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-12","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-13","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  229",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-14","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-15","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-16","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
