"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00209105","1928-08-24","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   20",",,6","    0",",,6","    0",",,6","  194",",,6","   78",",,6","  100",",,6",,,,,,,,,,
"USC00209105","1928-08-25","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  233",",,6","  -28",",,6","  194",",,6",,,,,,,,,,
"USC00209105","1928-08-26","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  300",",,6","   -6",",,6","  211",",,6",,,,,,,,,,
"USC00209105","1928-08-27","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","T,,6","    0",",,6","    0",",,6","  278",",,6","   83",",,6","  233",",,6",,,,,,,,,,
"USC00209105","1928-08-28","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    5",",,6","    0",",,6","    0",",,6","  267",",,6","  117",",,6","  117",",,6",,,,,,,,,,
"USC00209105","1928-08-29","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","T,,6","    0",",,6","    0",",,6","  244",",,6","   33",",,6","  183",",,6",,,,,,,,,,
"USC00209105","1928-08-30","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    5",",,6","    0",",,6","    0",",,6","  206",",,6","   17",",,6","   44",",,6",,,,,,,,,,
"USC00209105","1928-08-31","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  172",",,6","   -6",",,6","  128",",,6",,,,,,,,,,
"USC00209105","1928-09-01","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  228",",,6","   11",",,6","  161",",,6",,,,,,,,,,
"USC00209105","1928-09-02","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  228",",,6","  128",",,6","  144",",,6",,,,,,,,,,
"USC00209105","1928-09-03","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","  183",",,6","    0",",,6","    0",",,6","  144",",,6","   56",",,6","   56",",,6",,,,,,,,,,
"USC00209105","1928-09-04","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   46",",,6","    0",",,6","    0",",,6","  156",",,6","   56",",,6","   83",",,6",,,,,,,,,,
"USC00209105","1928-09-05","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  217",",,6","  -11",",,6","  144",",,6",,,,,,,,,,
"USC00209105","1928-09-06","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  239",",,6","   11",",,6","  156",",,6",,,,,,,,,,
"USC00209105","1928-09-07","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  256",",,6","    6",",,6","   72",",,6",,,,,,,,,,
"USC00209105","1928-09-08","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  272",",,6","   28",",,6","  206",",,6",,,,,,,,,,
"USC00209105","1928-09-09","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  211",",,6","   11",",,6","  117",",,6",,,,,,,,,,
"USC00209105","1928-09-10","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   51",",,6","    0",",,6","    0",",,6","  233",",,6","  100",",,6","  178",",,6",,,,,,,,,,
"USC00209105","1928-09-11","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","  264",",,6","    0",",,6","    0",",,6","  189",",,6","  117",",,6","  117",",,6",,,,,,,,,,
"USC00209105","1928-09-12","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","  135",",,6","    0",",,6","    0",",,6","  217",",,6","  111",",,6","  161",",,6",,,,,,,,,,
"USC00209105","1928-09-13","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   23",",,6","    0",",,6","    0",",,6","  194",",,6","  111",",,6","  150",",,6",,,,,,,,,,
"USC00209105","1928-09-14","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   18",",,6","    0",",,6","    0",",,6","  206",",,6","   39",",,6","  172",",,6",,,,,,,,,,
"USC00209105","1928-09-15","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","  140",",,6","    0",",,6","    0",",,6","  183",",,6","  111",",,6","  150",",,6",,,,,,,,,,
"USC00209105","1928-09-16","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   10",",,6","    0",",,6","    0",",,6","  256",",,6","   56",",,6","  133",",,6",,,,,,,,,,
"USC00209105","1928-09-17","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  150",",,6","   33",",,6","   56",",,6",,,,,,,,,,
"USC00209105","1928-09-18","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  183",",,6","  -39",",,6","  100",",,6",,,,,,,,,,
"USC00209105","1928-09-19","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  183",",,6","   33",",,6","   89",",,6",,,,,,,,,,
"USC00209105","1928-09-20","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  183",",,6","    6",",,6","   89",",,6",,,,,,,,,,
"USC00209105","1928-09-21","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   41",",,6","    0",",,6","    0",",,6","  183",",,6","  -11",",,6","  100",",,6",,,,,,,,,,
"USC00209105","1928-09-22","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   30",",,6","    0",",,6","    0",",,6","  167",",,6","  -11",",,6","   67",",,6",,,,,,,,,,
"USC00209105","1928-09-23","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   28",",,6","    0",",,6","    0",",,6","   72",",,6","  -22",",,6","   50",",,6",,,,,,,,,,
"USC00209105","1928-09-24","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   56",",,6","    0",",,6","    0",",,6","   94",",,6","   -6",",,6","   22",",,6",,,,,,,,,,
"USC00209105","1928-09-25","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   53",",,6","   25",",,6","    0",",,6","   83",",,6","    0",",,6","   28",",,6",,,,,,,,,,
"USC00209105","1928-09-26","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","T,,6","    0",",,6","    0",",,6","   72",",,6","  -28",",,6","   39",",,6",,,,,,,,,,
"USC00209105","1928-09-27","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   86",",,6","    0",",,6","    0",",,6","   94",",,6","   -6",",,6","   44",",,6",,,,,,,,,,
"USC00209105","1928-09-28","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  117",",,6","  -44",",,6","   39",",,6",,,,,,,,,,
"USC00209105","1928-09-29","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  156",",,6","  -56",",,6","   28",",,6",,,,,,,,,,
"USC00209105","1928-09-30","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  194",",,6","  -39",",,6","  178",",,6",,,,,,,,,,
"USC00209105","1928-10-01","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  206",",,6","   28",",,6","  139",",,6",,,,,,,,,,
"USC00209105","1928-10-02","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  178",",,6","   72",",,6","   72",",,6",,,,,,,,,,
"USC00209105","1928-10-03","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  261",",,6","   17",",,6","  111",",,6",,,,,,,,,,
"USC00209105","1928-10-04","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  278",",,6","   33",",,6","  139",",,6",,,,,,,,,,
