"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INGR0004","2009-10-09","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  434",",,N",,
"US1INGR0004","2009-10-14","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   51",",,N",,
"US1INGR0004","2009-10-15","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   74",",,N",,
"US1INGR0004","2009-10-24","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  465",",,N",,
"US1INGR0004","2009-10-30","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   91",",,N",,
"US1INGR0004","2009-10-31","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  135",",,N",,
"US1INGR0004","2010-04-04","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   58",",,N",,
"US1INGR0004","2010-04-05","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-06","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-07","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-08","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  254",",,N",,
"US1INGR0004","2010-04-09","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-10","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-11","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-12","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-13","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-14","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-15","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-16","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-17","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   13",",,N",,
"US1INGR0004","2010-04-18","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-19","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-20","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-21","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-22","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-23","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-24","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   25",",,N",,
"US1INGR0004","2010-04-25","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  102",",,N",,
"US1INGR0004","2010-04-26","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  130",",,N",,
"US1INGR0004","2010-04-27","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   10",",,N",,
"US1INGR0004","2010-04-28","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-29","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-04-30","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-01","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  140",",,N",,
"US1INGR0004","2010-05-02","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   18",",,N",,
"US1INGR0004","2010-05-03","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   58",",,N",,
"US1INGR0004","2010-05-04","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   76",",,N",,
"US1INGR0004","2010-05-06","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-07","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-08","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    8",",,N",,
"US1INGR0004","2010-05-09","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-10","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-11","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  257",",,N",,
"US1INGR0004","2010-05-12","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-13","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   20",",,N",,
"US1INGR0004","2010-05-14","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    8",",,N",,
"US1INGR0004","2010-05-15","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-16","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-17","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    5",",,N",,
"US1INGR0004","2010-05-18","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  231",",,N",,
"US1INGR0004","2010-05-19","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-20","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-21","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-22","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-23","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-24","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-25","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-26","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-27","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-28","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-29","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-30","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-05-31","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-06-01","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  203",",,N",,
"US1INGR0004","2010-06-02","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","    0",",,N","    0",",,N"
"US1INGR0004","2010-06-03","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","   48",",,N",,
"US1INGR0004","2010-06-06","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  389",",,N",,
"US1INGR0004","2010-06-22","40.579119","-85.655644","246.6","MARION 2.2 NNE, IN US","  254",",,N",,
