"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00478515","1936-12-23","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -17",",I,6","  -83",",,6",,,,,"    0",",,6",,,,,,
"USC00478515","1936-12-24","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   28",",,6","   -6",",,6",,,,,"   22",",,6",,,,,,
"USC00478515","1936-12-25","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,"   17",",,6",,,,,"   44",",,6",,,,,,
"USC00478515","1936-12-26","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"   89",",,6","   28",",,6",,,,,"   83",",,6",,,,,,
"USC00478515","1936-12-27","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"   89",",,6",,,,,,,,,,,,,,
"USC00478515","1936-12-28","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,"  -72",",,6",,,,,,,,,,,,
"USC00478515","1936-12-29","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,"  -56",",,6",,,,,"  -11",",I,6",,,,,,
"USC00478515","1936-12-30","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","  145",",,6",,,,,"   83",",,6","   17",",I,6",,,,,"   78",",,6",,,"    1",",,6",,
"USC00478515","1936-12-31","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   83",",,6"," -144",",,6",,,,," -111",",,6",,,,,,
"USC00478515","1937-01-01","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -94",",,6"," -178",",,6",,,,," -100",",,6",,,,,,
"USC00478515","1937-01-02","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","  107",",,6",,,,,"  -33",",,6"," -128",",,6",,,,,"  -56",",,6",,,,,"    1",",,6"
"USC00478515","1937-01-03","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -56",",,6",,,,,,,,,,,,,,
"USC00478515","1937-01-04","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,,,,,,,,," -111",",,6",,,,,"    1",",,6"
"USC00478515","1937-01-05","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,,,,,,," -156",",,6",,,,,,
"USC00478515","1937-01-06","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,,,,,,,,,,,,,,,,
"USC00478515","1937-01-07","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,,,,,,,"  -89",",,6",,,,,,
"USC00478515","1937-01-08","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"  -67",",,6"," -239",",,6",,,,,"  -83",",,6",,,,,,
"USC00478515","1937-01-09","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -83",",,6"," -256",",,6",,,,," -194",",,6",,,,,,
"USC00478515","1937-01-10","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -111",",,6",,,,,,," -122",",,6",,,,,,
"USC00478515","1937-01-11","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -189",",,6",,,,,,,,,,,,
"USC00478515","1937-01-12","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -44",",,6",,,,,,,,,,,,,,
"USC00478515","1937-01-13","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -150",",,6",,,,,"  -33",",,6",,,,,,
"USC00478515","1937-01-14","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,,," -122",",,6",,,,," -117",",,6",,,,,"    1",",,6"
"USC00478515","1937-01-15","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -183",",,6",,,,," -133",",,6",,,,,,
"USC00478515","1937-01-16","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,,,,,,," -106",",,6",,,,,,
"USC00478515","1937-01-17","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,,,,,,,"  -56",",,6",,,,,,
"USC00478515","1937-01-18","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -56",",,6"," -211",",,6",,,,,,,,,,,,
"USC00478515","1937-01-19","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -328",",,6",,,,," -128",",,6",,,,,,
"USC00478515","1937-01-20","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"  -39",",,6"," -239",",,6",,,,,"  -39",",,6",,,,,"    1",",,6"
"USC00478515","1937-01-21","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -206",",,6",,,,,,,,,,,,
"USC00478515","1937-01-22","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -272",",,6",,,,,,,,,,,,
"USC00478515","1937-01-23","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,,,,,,," -144",",,6",,,,,,
"USC00478515","1937-01-24","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,,,,,,,,,,,,,,,"    1",",,6"
"USC00478515","1937-01-25","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -78",",,6"," -178",",,6",,,,," -178",",,6",,,,,,
"USC00478515","1937-01-26","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -128",",,6",,,,,,,,,,,,,,
"USC00478515","1937-01-27","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,,,,,,,"  -67",",,6",,,,,,
"USC00478515","1937-01-29","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,,,,,,,,,"  -56",",,6",,,,,,
"USC00478515","1937-01-30","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","  147",",,6",,,,,"    0",",,6",,,,,,,"  -67",",,6",,,,,"    1",",,6"
"USC00478515","1937-01-31","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -72",",,6",,,,,,,,,,,,,,
"USC00478515","1937-02-02","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -100",",,6",,,,,,,,,,,,,,
"USC00478515","1937-02-03","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -61",",,6"," -156",",,6",,,,,,,,,,,,
"USC00478515","1937-02-04","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"  -56",",,6","  -83",",,6",,,,,,,,,,,,
"USC00478515","1937-02-05","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,,,,,,,,,,,,,,,,
"USC00478515","1937-02-06","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -189",",,6",,,,,,,,,,,,
"USC00478515","1937-02-07","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,,,,,,,,,,,,,,,"    1",",,6"
"USC00478515","1937-02-08","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"  -50",",,6"," -117",",,6",,,,,,,,,,,,
"USC00478515","1937-02-09","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -22",",,6"," -111",",I,6",,,,," -194",",I,6",,,,,,
"USC00478515","1937-02-10","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -289",",,6",,,,," -156",",,6",,,,,,
"USC00478515","1937-02-11","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -156",",,6",,,,,"  -22",",,6",,,,,,
"USC00478515","1937-02-12","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,,,,,,,"   39",",I,6",,,,,,
"USC00478515","1937-02-13","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"    0",",I,6","  -61",",,6",,,,,"  -33",",,6",,,,,,
"USC00478515","1937-02-14","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"  -22",",,6"," -111",",,6",,,,,,,,,,,,
"USC00478515","1937-02-15","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -39",",,6","  -94",",,6",,,,,,,,,,,,
"USC00478515","1937-02-16","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   11",",,6",,,,,,,"  -11",",,6",,,,,,
"USC00478515","1937-02-17","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"    6",",,6","  -44",",,6",,,,,"   -6",",,6",,,,,,
"USC00478515","1937-02-18","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   44",",,6","  -22",",,6",,,,,,,,,,,,
"USC00478515","1937-02-19","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   33",",,6","  -22",",,6",,,,,"   22",",,6",,,,,,
"USC00478515","1937-02-20","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"   22",",,6","   -6",",,6",,,,,,,,,,,,
"USC00478515","1937-02-21","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"    0",",,6"," -122",",,6",,,,," -122",",,6",,,,,"    1",",,6"
"USC00478515","1937-02-22","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -122",",,6"," -217",",,6",,,,," -161",",,6",,,,,,
"USC00478515","1937-02-23","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -122",",,6",,,,,,," -139",",,6",,,,,,
"USC00478515","1937-02-24","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,," -122",",,6"," -217",",,6",,,,,,,,,,,,
"USC00478515","1937-02-25","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"  -44",",,6",,,,,,,"  -61",",,6",,,,,,
"USC00478515","1937-02-26","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -44",",,6","  -83",",,6",,,,,,,,,,,,
"USC00478515","1937-02-27","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -261",",,6",,,,,"  -61",",,6",,,,,,
"USC00478515","1937-02-28","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -50",",,6"," -267",",,6",,,,,,,,,,,,
"USC00478515","1937-03-01","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   17",",,6",,,,,,,,,,,,,,
"USC00478515","1937-03-02","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   17",",,6",,,,,,,,,,,,,,
"USC00478515","1937-03-03","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   44",",,6"," -178",",,6",,,,,"   28",",,6",,,,,,
"USC00478515","1937-03-04","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   44",",,6",,,,,,,,,,,,,,
"USC00478515","1937-03-05","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   89",",,6","  -17",",,6",,,,,"   67",",,6",,,,,,
"USC00478515","1937-03-06","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   89",",,6","  -56",",,6",,,,,"   78",",,6",,,,,,
"USC00478515","1937-03-07","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"   83",",,6",,,,,,,"   -6",",,6",,,,,,
"USC00478515","1937-03-08","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"    0",",,6"," -122",",,6",,,,," -111",",,6",,,,,,
"USC00478515","1937-03-09","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -106",",,6"," -200",",,6",,,,," -122",",,6",,,,,,
"USC00478515","1937-03-10","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -244",",,6",,,,," -100",",,6",,,,,,
"USC00478515","1937-03-11","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -83",",,6"," -167",",,6",,,,,"  -89",",,6",,,,,,
"USC00478515","1937-03-12","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -56",",,6"," -200",",,6",,,,,"  -72",",,6",,,,,,
"USC00478515","1937-03-13","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -50",",,6",,,,,,,,,,,,,,
"USC00478515","1937-03-15","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,,,,,,,"  -33",",,6",,,,,,
"USC00478515","1937-03-16","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,,,,,,,"    6",",,6",,,,,,
"USC00478515","1937-03-17","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,,,,,,,"   22",",,6",,,,,,
"USC00478515","1937-03-18","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6","   25",",,6",,,"   22",",,6",,,,,,,,,,,,,,
"USC00478515","1937-03-19","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   33",",,6","  -78",",,6",,,,,"   22",",,6",,,,,,
"USC00478515","1937-03-20","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,"  -72",",,6",,,,,"   28",",,6",,,,,,
"USC00478515","1937-03-21","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   28",",,6",,,,,,,"  -39",",,6",,,,,,
"USC00478515","1937-03-22","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -111",",,6",,,,,"    6",",,6",,,,,,
"USC00478515","1937-03-23","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   22",",,6",,,,,,,"   11",",,6",,,,,,
"USC00478515","1937-03-24","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   11",",,6","  -94",",,6",,,,,"  -78",",,6",,,,,,
"USC00478515","1937-03-25","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,," -122",",,6",,,,," -106",",,6",,,,,,
"USC00478515","1937-03-26","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -61",",,6",,,,,,,"  -67",",,6",,,,,,
"USC00478515","1937-03-27","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,,,"  -83",",,6",,,,,"  -11",",,6",,,,,,
"USC00478515","1937-03-28","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   28",",,6",,,,,,,"   22",",,6",,,,,,
"USC00478515","1937-03-29","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   67",",,6",,,,,,,"   44",",,6",,,,,,
"USC00478515","1937-03-30","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"   50",",,6",,,,,,,"   -6",",,6",,,,,,
"USC00478515","1937-03-31","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6",,,,,"   44",",,6",,,,,,,"   28",",,6",,,,,,
"USC00478515","1938-01-01","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   11",",,6"," -128",",,6",,,,,"  -11",",,6",,,,,,
"USC00478515","1938-01-02","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"   11",",,6"," -156",",,6",,,,,"  -17",",,6",,,,,,
"USC00478515","1938-01-03","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,,"  -17",",,6"," -172",",,6",,,,," -106",",,6",,,,,,
"USC00478515","1938-01-04","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6","    0","T,,6",,," -111",",,6"," -167",",,6",,,,," -167",",,6",,,,,,
"USC00478515","1938-01-05","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -161",",,6"," -306",",,6",,,,," -178",",,6",,,,,,
"USC00478515","1938-01-06","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -128",",,6"," -211",",,6",,,,," -133",",,6",,,,,,
"USC00478515","1938-01-07","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -133",",,6"," -206",",,6",,,,," -172",",I,6",,,,,,
"USC00478515","1938-01-08","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -189",",I,6"," -306",",,6",,,,," -189",",,6",,,,,,
"USC00478515","1938-01-09","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US",,,,,,," -111",",,6"," -322",",,6",,,,," -117",",,6",,,,,,
"USC00478515","1938-01-10","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    0","T,,6","    0","T,,6",,,"  -94",",,6"," -322",",,6",,,,," -100",",,6",,,,,,
"USC00478515","1938-01-11","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","   25",",,6","   76",",,6",,,"  -39",",,6"," -106",",,6",,,,,"  -39",",,6",,,,,"    1",",,6"
"USC00478515","1938-01-12","43.9713","-90.4679","296.3","TOMAH RANGER STATION 2, WI US","    8",",,6","   25",",,6",,,"  -28",",,6","  -67",",,6",,,,,"  -67",",,6",,,,,,
