"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00196783","1960-02-13","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  -17",",,0","  -83",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-14","42.524","-71.1249","33.5","READING, MA US","  163",",,0,2200","   46",",,0,","    0","T,,0,","   72",",,0","  -67",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-02-15","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   22",",,0","  -83",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-16","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   50",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-17","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","   78",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-18","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  100",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-19","42.524","-71.1249","33.5","READING, MA US","  457",",,0,2200","    3",",,0,","    0","T,,0,","   61",",,0","  -11",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-02-20","42.524","-71.1249","33.5","READING, MA US","    8",",,0,2200","    8",",,0,","    0","T,,0,","   39",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-21","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","   50",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-22","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","   44",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-23","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","   50",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-24","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","   56",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-25","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0","T,,0,","    0",",,0,","   33",",,0","  -83",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-26","42.524","-71.1249","33.5","READING, MA US","  305",",,0,2200","   25",",,0,","    0","T,,0,","   56",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-27","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   50",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-28","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","   44",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-02-29","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0","T,,0,","    0",",,0,","   17",",,0","  -78",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-01","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  -17",",,0","  -94",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-02","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","    6",",,0"," -106",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-03","42.524","-71.1249","33.5","READING, MA US","  124",",,0,2200","  147",",,0,","  152",",,0,","  -11",",,0"," -100",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-04","42.524","-71.1249","33.5","READING, MA US","  279",",,0,2200","  411",",,0,","  508",",,0,","  -11",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-05","42.524","-71.1249","33.5","READING, MA US","   20",",,0,2200","   38",",,0,","  406",",,0,","   33",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-06","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  356",",,0,","   33",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-07","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  330",",,0,","   44",",,0"," -128",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-08","42.524","-71.1249","33.5","READING, MA US","    8",",,0,2200","   10",",,0,","  330",",,0,","   22",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-09","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  305",",,0,","    0",",,0"," -117",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-10","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  305",",,0,","   -6",",,0"," -161",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-11","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  279",",,0,","  -28",",,0"," -150",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-12","42.524","-71.1249","33.5","READING, MA US","    3",",,0,2200","    3",",,0,","  254",",,0,","   44",",,0"," -144",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-13","42.524","-71.1249","33.5","READING, MA US","   10",",,0,2200","   10",",,0,","  203",",,0,","   67",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-14","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  178",",,0,","   50",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-15","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  152",",,0,","   50",",,0","  -78",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-16","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  102",",,0,","   56",",,0"," -100",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-17","42.524","-71.1249","33.5","READING, MA US","  132",",,0,2200","   61",",,0,","  152",",,0,","   28",",,0","  -33",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-03-18","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0",",,0,","  102",",,0,","   89",",,0","    0",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
