"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"US1MNBU0008","2011-06-30","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-07-02","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  147",",,N",,,,
"US1MNBU0008","2011-07-03","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-07-04","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-07-07","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-07-09","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   15",",,N",,,,
"US1MNBU0008","2011-07-11","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  152",",,N",,,,
"US1MNBU0008","2011-07-12","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   30",",,N",,,,
"US1MNBU0008","2011-07-13","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   30",",,N",,,,
"US1MNBU0008","2011-07-14","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   53",",,N",,,,
"US1MNBU0008","2011-07-15","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   97",",,N",,,,
"US1MNBU0008","2011-07-16","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  584",",,N",,,,
"US1MNBU0008","2011-07-17","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-07-21","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-07-23","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-07-24","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  140",",,N",,,,
"US1MNBU0008","2011-07-25","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-07-26","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-07-27","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   48",",,N",,,,
"US1MNBU0008","2011-07-28","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   51",",,N",,,,
"US1MNBU0008","2011-07-29","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-07-30","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-02","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-03","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-04","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-06","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-07","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   41",",,N",,,,
"US1MNBU0008","2011-08-08","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-09","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-10","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-12","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   43",",,N",,,,
"US1MNBU0008","2011-08-13","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   94",",,N",,,,
"US1MNBU0008","2011-08-16","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-17","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   51",",,N",,,,
"US1MNBU0008","2011-08-20","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-21","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-22","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-23","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   30",",,N",,,,
"US1MNBU0008","2011-08-24","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-25","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-26","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-27","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-08-30","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   13",",,N",,,,
"US1MNBU0008","2011-08-31","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   20",",,N",,,,
"US1MNBU0008","2011-09-01","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-02","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   43",",,N",,,,
"US1MNBU0008","2011-09-03","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   66",",,N",,,,
"US1MNBU0008","2011-09-04","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    5",",,N",,,,
"US1MNBU0008","2011-09-05","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-09","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-11","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-12","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-13","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-14","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-15","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-16","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-17","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-18","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   69",",,N",,,,
"US1MNBU0008","2011-09-19","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   10",",,N",,,,
"US1MNBU0008","2011-09-20","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   51",",,N",,,,
"US1MNBU0008","2011-09-21","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    5",",,N",,,,
"US1MNBU0008","2011-09-22","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   10",",,N",,,,
"US1MNBU0008","2011-09-23","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-25","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-26","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-28","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-29","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-09-30","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-03","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-04","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-08","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-10","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-11","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   15",",,N",,,,
"US1MNBU0008","2011-10-12","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    5",",,N",,,,
"US1MNBU0008","2011-10-13","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  170",",,N",,,,
"US1MNBU0008","2011-10-14","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    8",",,N",,,,
"US1MNBU0008","2011-10-17","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-18","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-19","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-23","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    8",",,N",,,,
"US1MNBU0008","2011-10-24","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-25","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-26","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-27","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-28","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-29","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-10-31","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-01","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-02","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-03","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-04","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-07","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-08","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-10","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-13","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0","T,,N",,,,
"US1MNBU0008","2011-11-14","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0","T,,N",,,,
"US1MNBU0008","2011-11-18","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-28","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-29","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-11-30","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-12-07","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-12-08","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-12-09","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-12-10","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-12-11","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-12-12","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-12-13","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-12-19","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-12-21","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-03-11","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-03-20","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   79",",,N",,,,
"US1MNBU0008","2012-03-21","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   15",",,N",,,,
"US1MNBU0008","2012-03-22","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    5",",,N",,,,
"US1MNBU0008","2012-03-23","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  178",",,N",,,,
"US1MNBU0008","2012-03-26","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   51",",,N",,,,
"US1MNBU0008","2012-03-27","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   28",",,N",,,,
"US1MNBU0008","2012-03-28","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-03-30","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   86",",,N",,,,
"US1MNBU0008","2012-03-31","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-01","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-02","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-03","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-04","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-05","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-06","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-09","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-10","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-11","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-12","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-15","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  231",",,N",,,,
"US1MNBU0008","2012-04-16","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  155",",,N",,,,
"US1MNBU0008","2012-04-17","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    8",",,N",,,,
"US1MNBU0008","2012-04-18","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   38",",,N",,,,
"US1MNBU0008","2012-04-20","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  155",",,N",,,,
"US1MNBU0008","2012-04-22","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   76",",,N",,,,
"US1MNBU0008","2012-04-23","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   13",",,N",,,,
"US1MNBU0008","2012-04-24","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-25","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    8",",,N",,,,
"US1MNBU0008","2012-04-26","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-27","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-04-29","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   28",",,N",,,,
"US1MNBU0008","2012-04-30","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   20",",,N",,,,
"US1MNBU0008","2012-05-01","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-05-02","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  224",",,N",,,,
"US1MNBU0008","2012-05-03","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    8",",,N",,,,
"US1MNBU0008","2012-05-04","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    5",",,N",,,,
"US1MNBU0008","2012-05-06","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  432",",,N",,,,
"US1MNBU0008","2012-05-07","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-05-08","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2012-05-09","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   38",",,N",,,,
