"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1COPK0060","2004-07-15","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","  109",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-16","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-17","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","  140",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-18","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   97",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-19","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","  417",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-20","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","  142",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-21","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   13",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-22","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    8",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-23","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   25",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-24","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   25",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-25","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0","T,,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-26","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-27","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-28","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-29","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-30","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-07-31","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    5",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-08-01","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-08-02","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-08-03","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   23",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-08-04","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","    0",",,N","    0",",,N","    0",",,N",,
"US1COPK0060","2004-08-05","39.223","-106.0011","3033.1","FAIRPLAY .10 SSE, CO US","   74",",,N","    0",",,N","    0",",,N",,
